1974  145  104   76   53  876  759  605 1049  775  241  310   84  5077
1975   43  409  150  216  345 1326 1057 1067 1806  937  231  483  8070
1976  246  554   13 1217  673 2598  206 1803  859  818  127  485  9599
1977  343  381   18  749 2565  500  485 2649  942  605 1074 1125 11436
1978  541  460  617  500 2400 1285  356  683  770 1064  465  109  9250
1979  419  241  262 1158  559  762  889  638  721  790  409  307  7155
1980  249  234  211  721  544  655 1689 1621 1527  749 7028  119 15347
1981  117  577  213   99  140  229  292 2256 1697  353  889   18  6880
1982   97  427  874  442 1468 2273  493  663 1615  577  305   76  9310
1983 4481  884 1669  478  569  970 1179  709  572  305  231 1262 13309
1984   25 1034  554 1057 1471 1801  836  658 2060  335  292   25 10148
1985   81   74  546 2692 1115  145  925 1504 1631  772  665  579 10729
1986  320  513  251  236  231 1364 1138 1438 1163  640  234 2840 10368
1987  226  145 2461   51  607 1105  780  983 1748 2131 1483  701 12421
1988 1214  117  427  163 2062  914 1468 1598  884  193  198   48  9286
1989  112   84  267  348  739  457 1499  838  800  686 1661  424  7915
1990    0  270  190  350 1410  240 1040 2040 1340 1310  740  340  9270
1991  570   70  740  370 2050 2140  560  570 1370 1810   30  180 10460
1992   70  310  710  360  410 2990  270  970 1820  520  970   20  9420
1993 2020   80  360  450 1120  430  110  970 1460 1530   60  560  9150
1994  590  580   90  620  800   80  490 2280 3300 1600  330 1150 11910
