1900  430  605  620  411  462  205   72   83   53  317  369  490  4117
1901  545  298  368  317  814  172   41   27  120  517  508  436  4163
1902  474  435  466  553  369   92   61   50   90  349  639  448  4026
1903  543  615  357  399  327  156   73   70  125  172  316  436  3589
1904  431  299  663  652  696  135   54   34  111  440  694  768  4977
1905  566  336  475  610  454  150   46   53  126  274  279  666  4035
1906  458  445  422  471  935  156  111   42   65  316  554  706  4681
1907  837  505  597  502  194  102   77   46  131  245  757  391  4384
1908  728  458  740  745  338  196   38   16   81  217  728  599  4884
1909  420  520  431  799  244  207   28   63  148  545  411  301  4117
1910  544  380  620  517  593  132   50   31  122  229  320  237  3775
1911  547  566  524  777  543  125   36   36   84  207  316  518  4279
1912  446  595  364  592  630  117  101   31   33  623  398  505  4435
1913  531  649  362  442  659   64   44   15  128  365  563  485  4307
1914  582  132  452  931  446  220   64   45   71  373  748  459  4523
1915  361  342  764  915  419  238   80   44   62  277  293  277  4072
1916  475  473  455  790  526   86   43   24  157   99  234  514  3876
1917  549  588  401  400  463  107   24   49   63  160  343  391  3538
1918  376  538  481  450  595  163   37   58  105  519  411  601  4334
1919  462  737  528  561  706  187   58   25   68  254  489  538  4613
1920  599  729  693  480  943  258   59   58  141  514  495  286  5255
1921  471  509  493  816  419  308   42   34   77  204  600  746  4719
1922  760  581  322  516  311  163   85   89   92  285  542  361  4107
1923  501  492  427  750  590  152   58   88   53  384  167  434  4096
1924  451  680  504  481  303  215   40   35   58  407  463  350  3987
1925  402   98  382  624  296  232   52   24   52  339  329  601  3431
1926  536  491  680  640  527  135   95   27   72  144  108  550  4005
1927  453  676  281  783  414  103   72   32   82  238  536  571  4241
1928  254 1160  424  392  337  145   44   37   79  290  477  530  4169
1929  503  808  486  698  976  367   95   68  180  142  226  376  4925
1930  276  663  349  590  303  197   30   16   85  429  396  623  3957
1931  548  320  563  793  505  228  110   87   62  231  518  692  4657
1932  551  658  446  464  330   95   43   31  186   55  590  145  3594
1933  582  574  638  514  388  240   64   15  110  318  466  810  4719
1934  411  504  225  614  591  138   64   53  115  314  241  401  3671
1935  673  751  572  506  191  110   30   34   75  385  738  376  4441
1936  234  798  383  781  875  236  156   85  105  571  525  444  5193
1937  715  242  241  787  537  183   20   76   37  400  390  333  3961
1938  834  702  348  634  404   94  130   77  131   85  552  469  4460
1939  329  297  805  703  167  180  148   87   94  174  899  614  4497
1940  730  525  467  709  375  198   31    5   60  609  211  698  4618
1941  988  553  727  609  110   38   47   16   76  255  318  536  4273
1942 1085  427  990  343  225  102   26   14   45  522  991  359  5129
1943  731  526  613  500  283  132   77   39   66  428  224  435  4054
1944  807  484  667  833  630  107   22   40   66  291  630  310  4887
1945  711  440  443  383  200  183   36   16   34  237  520  476  3679
1946  497  607  631  679  719  277  116   75   62  820   48  425  4956
1947  883  345  343  326  363   92  105   13   86  200  779  415  3950
1948  414  675  443  869  458  135    5   14   99  305  426  520  4363
1949  624  736  618  691  286   21   49   34   44  140   54  687  3984
1950  752  380  618  350  825  114   44    7   15  543  424  352  4424
1951  587  476  386  703  407  189   61   41  313 1151  265  641  5220
1952  479 1196  534  573  272  244    2   37   32   51  201  604  4225
1953  589 1022  831  558  436   73  147   10   10  437  778  436  5327
1954  716  840  883 1003  272  190   54   61   60  159  398  575  5211
1955  201  358  387  443  415   85   48    2  109   52  750  925  3775
1956  490  510  663  358  421   58   11   24  110  122  290  595  3652
1957  621  395  791  417  986  214   93   41  111  160  444  413  4686
1958  881  236  476  358  203  242   76   16   67   51  411  638  3655
1959  500  302  576  268 1016  188   39   54  184  376  347  175  4025
1960  606  304  479  774  167  125   95   35    5   90  582  136  3398
1961  456  324  522  454  312  158    2   27   18   79  445  600  3397
1962  593  551  221  817  122   53   45    8    4  302  276  498  3490
1963  754  713  502 1708 1162  149  118  119  119  513  243  347  6447
1964  312  763  879  458  167  241   40   10    9   29  293  325  3526
1965  680  657  367  733  151  139   30   33   75  771  330  346  4312
1966  685  299  432  589  422   35   31   19  321  361  115  617  3926
1967  601  820  634  555  558  134   96   36  226  481  712  636  5489
1968  825  226  441  490  820  279   29   49   59  275  520 1270  5283
1969 1093  426 1037  806  238  152   15    5   96  632  324  424  5248
1970  476  331  336  185  158   46   52   28   17  147  452  453  2681
1971   79  402  410  831  267  148    3   74    3  396  313  817  3743
1972  392  393  546  737 1247  331   55   39   78  287  451   80  4636
1973  472  309  328  450  167  161   69    4    4  232  431  177  2804
1974  694  287 1180  583  150   54   47  148  278   28  506  318  4273
