1900  103  104  138  114  131  128   62   52    2   33  218  127  1212
1901  124   20  108  209  160   73   15    0   85  235  126   97  1252
1902  195   37  194  137   35    2   51   67   26   63  337  171  1315
1903  128  256  146   17   94   19   17   50   21   36  111   60   955
1904   67   37  141  147  156   31    3   27    6  109   35  177   936
1905   66   85  126  180  162   64   40   78    3    4  147  239  1194
1906  108   34  198  201  299  140   18   35   37   27  190  121  1408
1907  196  101  142  224  101   39   14   25   57   54  132   76  1161
1908  124  168  100   77  136   33    6   84   35  103  104   88  1058
1909   81   68   68  223   67   48   36   55    2   36   21   55   760
1910  143   63  150   30   41   92   20   11   31   50   19   44   694
1911  186  113  234   91  136   11   39   37   38   67  102   64  1118
1912   50   89   70  107   78  118   12   49    4    7   61  138   783
1913  130  130  113  107   32    9    4    0    6  106  110   99   846
1914  520   92  167   86  153   36    1   74   13   15  226   91  1474
1915   81   54  506  411   27  171   44    3    3   33  112   50  1495
1916  192   58  281  181   11  123   14    0  110   30   18   36  1054
1917   25   63   80    6   19   15   54   42    2  110   48  104   568
1918  182   84  126  110   81   49   56   16   11   68   49   99   931
1919   79  220  162  126  129   78   25    6   20   29  100  108  1082
1920  129   77  131  152  119   46   90   95   48  140  186   70  1283
1921   84   65  190  166   12   44   26  133   19  143   56  118  1056
1922   97  127   76  155   84   53   49   14   42  110   89  136  1032
1923   48   90  166  249   40   83   15   21   11  180  157   64  1124
1924   73  145  192  224   38  115   60   16   22   56  118  159  1218
1925  199   16   64  180   63   28   46   21   10  138  127   43   935
1926  112  137  189  173   47  122   63   13   41   37  145   80  1159
1927   58  124  103   60   47   22   29   15   29  110  158  157   912
1928   83  148  145  116  143   46   71   80   30   24   33   95  1014
1929   76  130  204   48    8   48   26    0   13   18   67   32   670
1930   35  120  177  124   52   37   15    1   21  108  115  122   927
1931  127   14  202  140  184  170   10  106   11   97   70  254  1385
1932   88   80  183  144   83   21   70   16   64  177  118   57  1101
1933   79   42  201  378   31  188   58    6    1   18  120  282  1404
1934   22  170   49  106  221   93   18   11   93  198   25  180  1186
1935   86  185  177   65  128   98   28    1   20   56   52   33   929
1936   42  266  193   59   76  184   24    1   24   83  267   47  1266
1937  122  132  120  160   24   14   18    0    0   63   84   60   797
1938   58  132  127  375  152   40   25    1   90   10   74   34  1118
1939  117   24  225  101   68   77   14   17    7   37   82  217   986
1940   95  364  218  176  364   20  111    0  223  299   73  127  2070
1941   64   99  144  169   56   10    0   84   18   54  291  135  1124
1942   99    0  528   58  186   40    0    0    0  122  101   17  1151
1943   99  292   23  217   19   61   12    7   12   13  145   99   999
1944   29   34   11  234    8   23    0    0    0   76    6   18   439
1945   38   57   51  200  284   72    1  135   50   24   54  122  1088
1946   36   39  121   58   41   40  193   44    7  280   18   30   907
1947   24  168   66   73   96   46    6   18  209  108   18  115   947
1948    5  108   94  109   29    1    7    0    6  288   38   67   752
1949   80   94   36  501   50   41    0  216    1   46  108   64  1237
1950  150   66   51    1   42   89    8   12    7   41  106   53   626
1951  224    6   13   93   58   12   29   24   30  407   12  180  1088
1952   23  254  310   97  225   93   92    0  114    0   52  118  1378
1953   77   74  117    1  128    0   28    0   13  134  101  191   864
1954   81  323  126   80   12   68    6    6    0    0   29   30   761
1955   58   60  103   51    0  248   18    6    0   52   54   53   703
1956   51  106  215   22  164   38   64    0  125   76   60   81  1002
1957    6   28  174    0    0   69  243    6    0  152   83   93   854
1958  166   72  295  195  171   22   13  100    6   26  179  185  1430
1959  116  219  205  227    0   11   46   19    0   93  148   12  1096
1960  109  277  129   54  100   18   37   13    0   30   64   53   884
1961   22   33  172  151    0   31   75   83   29    6   66   91   759
1962  168   46  117  268  171    9    0    0   92   63   59  126  1119
1963  143   33  220  234  279  446   42    0    0   83  167  144  1791
1964  151  155  129  258   89   20   77   18    6    0  125  121  1149
1965  168  101  164  161   35   62   60   18   78  180   71   41  1139
1966  204  198  244  191   64    5    7    0   10   35   36  232  1226
1967   46  224  115  209  216  157   64    0    7   36  160   80  1314
1968  181   29   73   67   30  100   21   20   33  100  291   59  1004
1969   30   23  380  570   56   17   67    0  107  134  408  102  1894
1970    9   41   57   99   26   17  132   24   35   71   76  119   706
1971    0   39   55  155    6   17    0    0    0  229   65  168   734
1972   47    6   86  138  261   39    0    1    0    1    0   37   616
1973  150   47  119  209  116    1    0    0    3    7  248   64   964
1974  222    0   91  201    7    1    0    5    1    6   19   29   582
1975   24  148  106   26    6   17    0    0    6   35   42   69   479
1976  179   93   86  126   35   13    1    0    0  135    6  105   779
1977   94   47   86  129    0   35    1    0    2  119  137   97   747
1978   29   33   92  596  322   11    0    0    0   36  284  334  1737
1979   14  105  365  302  237   56    0    0   38   91    0  125  1333
1980  185   16  150  487   56   56    0   84   24  319  170   74  1621
1981  116  160  618  509  284  102   30   14   24   10  271   68  2206
1982   49   24  134   84  132   17   24  449  102  265  446   81  1807
1983  265  156  121  174  158  194   57    6   12   35  155  252  1585
1984   24    5  378  168  174    0    0    0    0  109  108   11   977
1985  168  212  248   39   33    0   58  125    6  150   14  106  1159
1986  103    0  142   38   66    0    3   24   19   78  272  254   999
1987   67  260  328  267   39  111   79    4   63   74   21  288  1601
1988  185   94   60  111  203   84   16   22  118   70  283  264  1510
1989  133   69  407   38   98   45   40   49   53   12   67  100  1111
1990  125  132  167  110   40   69   62   10    9  280  199  201  1404
1991  102   43   68  150  327  108   24    2   23   14  104  119  1084
1992   84  101   97  188  202   78   10   86  158   32   55  632  1723
1993  243  120   89  217  170   62   13  133    2   41  187   86  1363
