1900  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1901  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10  -10   -10
1902 1343 1544 1327 1801 1675 1222 6550 2155 2023 1602 1290 1185 23717
1903  901  367  461  334 1034 2104 2275  920 1641 1780 1363 4773 17953
1904 3331 1644  902 2085 1316 4380 2012 3711 1722 2466 2786 1148 27503
1905  375  312  214  440  845 1047 3267 2108 2440 2708 1233 1755 16744
1906 1185  634  404  263 1130 1779 2666 1786 2507 2586 1891 2265 19096
1907 2185 2313 4301  422  532 1998 1952 2668 1532 1089 1720 3348 24060
1908 1292 2635 1694  859 1202 2382 2253 1665 3292 1469 3131 1722 23596
1909 1130 1243  737  394  979 2702 2362 1115 2703 1818 3615 4458 23256
1910 2092 2501 1106 1477 1590 1501 1007 1540 3234 2668 4275 2779 25770
1911  707 1433 1147  873  783 1937 4032 1952 1876 3235 2134 1493 21602
1912  812  740  388  477  170  723 2264 2788 2401 4079 3768 1255 19865
1913 1446 1276  474 1459 1445 1816 2915 2400 1646 3083 1257 1425 20642
1914  489  199  773  759 1737 2742 1673 2196 2613 1162  896 1563 16802
1915 1495   72  316  431  773 2216 1959 1307 1810 2490  894 1896 15659
1916 4349 1841 1942 1067 2590 2269 1982 1679 2279 2805 2635 2549 27987
1917 2625 1905  832  405 1869 2063 1760 2081 2288 2702 2370 1504 22404
1918 4734 1841 2424  873 1113 3066 1750 1915 1309 1961 1872 2861 25719
1919 1056  572  341  723  951 1717 3135 2363 2240 3686 2427 3050 22261
1920 2624 1484 1314  837  604 1467 1822 1025 2735 1721 3696 1822 21151
1921 1761 2147 2262  818 1879 2332 2437 3036 2593 1773 3558 2395 26991
1922 3683 1278 1327  831 3019 1985 4044 1014 1974 1813 1614 2761 25343
1923 3870  619 1962 1448 1609 2174 1893 2990 2023 2210 2178 1042 24018
1924 1747 1783 1212  299 1461 2523 2220 1985 1860 3227 3644 5869 27830
1925 2100 2907 2115 2097 1482 2013 2276 2898 1957 2671 2203 2163 26882
1926 2136 1174  953  123 1188 2493 3020 3393 2863 3230 3233 4147 27953
1927 2284 1027  986  874 1713 1377 3683 2453  660 3247 2248 2381 22933
1928 2726 3311 1403 1581 1777 1763 4143 1313 1476 1931 2501 2535 26460
1929 2617 1175 2130 2130 2271 1504 3029 3753 1306 1746 2427 2389 26477
1930 1467  664  613 1132 1767 2063 2622 1983 1338  690 2151 2674 19164
1931 2222  443  708  424  699 1032 2225 2613 2531 2766 2390 2762 20815
1932 2567  957 1142  755 1868 1494 2673 1375 2352 2197 2926 2409 22715
1933 2532 1668  769  534 1158 2522 2563 1943 2807 3730 3671 2073 25970
1934 1949 3985 2365 1324 1602 1301 2446 3133 2575 2055 3613 3565 29913
1935  314 1343  916 1041 1085 1819 3562 1091 2978 2096 1924 1597 19766
1936 1978  330 1342 1129 1638 1925 2481 2862 2153 2587 1292 2602 22319
